ingredient_id,name,strength
86,HISTAMINE DIHYDROCHLORIDE,.3 mg/mL
87,ZINC OXIDE,195 mg/mL
88,ALCOHOL,.72 mL/mL
89,ZINC OXIDE,206 mg/mL
90,ZINC OXIDE,25 g/100g
91,BENZALKONIUM CHLORIDE,.1 g/1
92,ALCOHOL,.8 mL/mL
93,SALICYLIC ACID,1.5 g/100mL
94,ACETAMINOPHEN,650 mg/20mL
95,DIPHENHYDRAMINE HYDROCHLORIDE,25 mg/20mL
96,PHENYLEPHRINE HYDROCHLORIDE,10 mg/20mL
97,CALCIUM CARBONATE,750 mg/1
98,AVOBENZONE,30 mg/mL
99,OCTISALATE,50 mg/mL
100,OCTOCRYLENE,50 mg/mL
101,NEOMYCIN SULFATE,3.5 mg/g
102,POLYMYXIN B SULFATE,10000 [USP'U]/g
103,PRAMOXINE HYDROCHLORIDE,10 mg/g
104,DOCUSATE SODIUM,100 mg/1
105,OLOPATADINE HYDROCHLORIDE,1 mg/mL
106,DILTIAZEM HYDROCHLORIDE,5 mg/mL
107,DOCOSANOL,100 mg/g
108,BENZALKONIUM CHLORIDE,.85 g/850mL
109,ALCOHOL,1 mL/1
110,ISOPROPYL ALCOHOL,3.75 L/5L
111,ISOPROPYL ALCOHOL,2.835 L/3.78L
112,ALCOHOL,75 mL/1001
113,ALCOHOL,33 g/55g
114,ACETAMINOPHEN,325 mg/1
115,BUTALBITAL,50 mg/1
116,CAFFEINE,40 mg/1
117,CODEINE PHOSPHATE,30 mg/1
118,NABUMETONE,500 mg/1
119,TITANIUM DIOXIDE,29 mg/mL
120,ZINC OXIDE,78 mg/mL
121,TITANIUM DIOXIDE,3.6 g/100g
122,ZINC OXIDE,3 g/100g
123,TITANIUM DIOXIDE,6.4 g/100mL
124,ZINC OXIDE,4.2 g/100mL
125,PYRITHIONE ZINC,10 mg/mL
126,LORAZEPAM,2 mg/mL
127,OMEPRAZOLE,20 mg/1
128,SODIUM BICARBONATE,1100 mg/1
129,MICONAZOLE NITRATE,2.6 g/130g
130,HOMOSALATE,150 mg/mL
131,OCTOCRYLENE,100 mg/mL
132,OXYBENZONE,60 mg/mL
133,CAIRINA MOSCHATA HEART/LIVER AUTOLYSATE,200 [hp_C]/1
134,ACETAMINOPHEN,500 mg/1
135,DIPHENHYDRAMINE HYDROCHLORIDE,25 mg/1
136,SALICYLIC ACID,2 g/100g
137,HYDROCORTISONE,.01 g/g
138,MIDAZOLAM HYDROCHLORIDE,1 mg/mL
139,MAGNESIUM SULFATE HEPTAHYDRATE,6 [hp_X]/100mL
140,GUAIFENESIN,600 mg/1
141,PSEUDOEPHEDRINE HYDROCHLORIDE,60 mg/1
142,CETIRIZINE HYDROCHLORIDE,5 mg/1
143,PSEUDOEPHEDRINE HYDROCHLORIDE,120 mg/1
144,PHENYLEPHRINE HYDROCHLORIDE,5 mg/1
145,DEXTROMETHORPHAN HYDROBROMIDE,10 mg/1
146,GUAIFENESIN,200 mg/1
147,ACETAMINOPHEN,650 mg/30mL
148,DEXTROMETHORPHAN HYDROBROMIDE,30 mg/30mL
149,DOXYLAMINE SUCCINATE,12.5 mg/30mL
150,HOMOSALATE,100 mg/mL
151,OCTISALATE,30 mg/mL
152,OCTOCRYLENE,70 mg/mL
153,PYRITHIONE ZINC,300 mg/100mL
154,ONDANSETRON HYDROCHLORIDE,2 mg/mL
155,ISOPROPYL ALCOHOL,.7 mL/mL
156,ARNICA MONTANA WHOLE,30 [hp_X]/1
157,LIDOCAINE HYDROCHLORIDE,50 mg/g
158,RACEPINEPHRINE HYDROCHLORIDE,.1 mg/g
159,TETRACAINE HYDROCHLORIDE,10 mg/g
160,BENZOCAINE,200 mg/g
161,DIPHENHYDRAMINE HYDROCHLORIDE,6.25 mg/5mL
162,PHENYLEPHRINE HYDROCHLORIDE,2.5 mg/5mL
163,SUFENTANIL CITRATE,.05 mg/mL
164,ADENOSINE,3 mg/mL
165,OXYTOCIN,10 [USP'U]/mL
166,MECLIZINE HYDROCHLORIDE,25 mg/1
167,PERACETIC ACID,.01 g/100mL
168,DOXYLAMINE SUCCINATE,9.78 mg/3mL
169,FEXOFENADINE HYDROCHLORIDE,180 mg/1
170,ISOPROPYL ALCOHOL,72 mL/100mL
171,LIDOCAINE,40 mg/g
172,MENTHOL,10 mg/g
173,CYCLOBENZAPRINE HYDROCHLORIDE,10 mg/1
174,IBUPROFEN,800 mg/1
175,ONDANSETRON HYDROCHLORIDE,4 mg/1
176,LEVOFLOXACIN,750 mg/1
177,VENLAFAXINE HYDROCHLORIDE,150 mg/1
178,SUCRALFATE,1 g/1
179,CELECOXIB,200 mg/1
180,ALPRAZOLAM,.5 mg/1
181,DEXAMETHASONE,1 mg/g
182,BACLOFEN,20 mg/1
183,METAXALONE,800 mg/1
184,PREGABALIN,150 mg/1
185,CLONAZEPAM,1 mg/1
186,OCTREOTIDE ACETATE,100 ug/mL
187,ZOLPIDEM TARTRATE,5 mg/1
188,OMEPRAZOLE,40 mg/1
189,AMOXICILLIN,875 mg/1
190,CLAVULANATE POTASSIUM,125 mg/1
191,QUETIAPINE FUMARATE,50 mg/1
192,DICLOFENAC SODIUM,50 mg/1
193,CEFADROXIL,500 mg/1
194,SERTRALINE HYDROCHLORIDE,50 mg/1
195,DICLOFENAC SODIUM,100 mg/1
196,DOXYCYCLINE HYCLATE,100 mg/1
197,MOXIFLOXACIN HYDROCHLORIDE MONOHYDRATE,5 mg/mL
198,LIDOCAINE HYDROCHLORIDE,4.5 g/100g
199,MENTHOL,5 g/100g
200,PROPOFOL,10 mg/mL
201,INDOMETHACIN,75 mg/1
202,DICLOFENAC SODIUM,75 mg/1
203,MISOPROSTOL,200 ug/1
204,ALCOHOL,.62 g/g
205,PYRITHIONE ZINC,2 g/100g
206,CHLORHEXIDINE GLUCONATE,.2 g/100g
207,"XENON XE-129, HYPERPOLARIZED",75 mL/L
208,OLOPATADINE HYDROCHLORIDE,2 mg/mL
209,CHLOROXYLENOL,.3 g/100mL
210,AVOBENZONE,.03 g/g
211,HOMOSALATE,.05 g/g
212,OCTISALATE,.03 g/g
213,OCTOCRYLENE,.1 g/g
214,ALUMINUM SESQUICHLOROHYDRATE,25 g/100mL
215,PAROMOMYCIN SULFATE,250 mg/1
216,FLUTAMIDE,125 mg/1
217,CX-034476 OMICRON (BA.4/BA.5),5 ug/.2mL
218,ELASOMERAN,5 ug/.2mL
219,HOMOSALATE,5 mg/16mL
220,OCTISALATE,4.5 mg/16mL
221,OCTOCRYLENE,5 mg/16mL
222,TITANIUM DIOXIDE,2.9 mg/16mL
223,ZINC OXIDE,5.1 mg/16mL
224,HOMOSALATE,5 mg/100mL
225,OCTISALATE,4.5 mg/100mL
226,OCTOCRYLENE,5 mg/100mL
227,TITANIUM DIOXIDE,2.9 mg/100mL
228,ZINC OXIDE,5.1 mg/100mL
229,ALPHA LIPOIC ACID,12 [hp_X]/mL
230,ANTIMONY TRISULFIDE,12 [hp_X]/mL
231,CHROMIC SULFATE PENTADECAHYDRATE,12 [hp_X]/mL
232,CYSTEINE,6 [hp_X]/mL
233,FUCUS VESICULOSUS,3 [hp_X]/mL
234,GAMBOGE,12 [hp_X]/mL
235,GRAPHITE,30 [hp_C]/mL
236,NIACINAMIDE,6 [hp_X]/mL
237,SEMECARPUS ANACARDIUM JUICE,30 [hp_C]/mL
238,BENZOYL PEROXIDE,25 mg/mL
239,SODIUM CHLORIDE,.9 mg/100mL
240,MENTHOL,40 mg/mL
241,DOXYLAMINE SUCCINATE,6.25 mg/1
242,AVOBENZONE,3 g/100mL
243,HOMOSALATE,10 g/100mL
244,OCTISALATE,5 g/100mL
245,OCTOCRYLENE,8 g/100mL
246,ZINC OXIDE,107 mg/mL
247,ZINC OXIDE,132 mg/mL
248,TITANIUM DIOXIDE,5.5 mg/100mL
249,ZINC OXIDE,5.5 mg/100mL
250,LIDOCAINE HYDROCHLORIDE,15 mg/mL
251,BENZOCAINE,220 mg/g
252,ZINC OXIDE,200 mg/mL
253,POVIDONE-IODINE,.1 mg/mL
254,HYDROMORPHONE HYDROCHLORIDE,10 mg/mL
255,INDIGOTINDISULFONATE SODIUM,8 mg/mL
256,CELECOXIB,400 mg/1
257,DIMETHICONE,3 g/100g
258,TREPROSTINIL,20 mg/20mL
259,PYRITHIONE ZINC,20 mg/mL
260,CALCIUM SILICATE,5 [hp_X]/59mL
261,FERRIC CHLORIDE HEXAHYDRATE,7 [hp_X]/59mL
262,PHOSPHORUS,6 [hp_X]/59mL
263,POTASSIUM SILICATE,6 [hp_X]/59mL
264,SILICON DIOXIDE,4 [hp_X]/59mL
265,SODIUM NITRATE,4 [hp_X]/59mL
266,SULFUR,4 [hp_X]/59mL
267,ALCOHOL,67 mL/100mL
268,SALICYLIC ACID,20 mg/mL
269,PHENYLEPHRINE HYDROCHLORIDE,10 mg/1
270,IBUPROFEN,200 mg/1
271,CETIRIZINE HYDROCHLORIDE,10 mg/1
272,ASPIRIN,81 mg/1
273,IBUPROFEN,100 mg/5mL
274,ZINC OXIDE,17 g/100mL
275,TITANIUM DIOXIDE,3.3 g/100mL
276,ZINC OXIDE,13.8 g/100mL
277,PACLITAXEL,6 mg/mL
278,ALCOHOL,70 g/100g
279,BENZALKONIUM CHLORIDE,.15 g/100g
280,.ALPHA.-TOCOPHEROL ACETATE,.1 g/100g
281,SILICON DIOXIDE,14 g/100g
282,SODIUM PYROPHOSPHATE,.5 g/100g
283,MENTHOL,33.2 g/355mL
284,CAPSAICIN,.00724 g/355mL
285,MENTHOL,36.2 g/355mL
286,METHYL SALICYLATE,72.4 g/355mL
287,BENZALKONIUM CHLORIDE,.13 g/100mL
288,POLYETHYLENE GLYCOL 400,4 mg/mL
289,PROPYLENE GLYCOL,3 mg/mL
290,MAGNESIUM SALICYLATE,.0664 g/3.32g
291,SODIUM FLUORIDE F-18,200 mCi/mL
292,CAPSAICIN,.35 mg/mL
293,CALCIUM CARBONATE,55 g/100mL
294,OCTINOXATE,75 g/1000g
295,OCTISALATE,25 g/1000g
296,ZINC OXIDE,75 g/1000g
297,BENZALKONIUM CHLORIDE,.13 mg/100mL
298,O-PHTHALALDEHYDE,22 g/4000mL
299,CITRIC ACID MONOHYDRATE,160 g/4000mL
300,BENZALKONIUM CHLORIDE,.1 mg/100mL
301,ZINC OXIDE,126 mg/mL
302,LIDOCAINE,4 g/100g
303,"MENTHOL, UNSPECIFIED FORM",1 g/100g
304,LIDOCAINE,.12 g/3g
305,MENTHOL,.03 g/3g
306,LIDOCAINE HYDROCHLORIDE,4 g/100g
307,POTASSIUM CHLORATE,.671 g/100mL
308,HEPARIN SODIUM,5000 [USP'U]/mL
309,AMOXICILLIN,250 mg/5mL
310,CLAVULANATE POTASSIUM,62.5 mg/5mL
311,AMOXICILLIN,500 mg/1
312,BUPROPION HYDROCHLORIDE,105 mg/1
313,DEXTROMETHORPHAN HYDROBROMIDE,45 mg/1
314,SOLRIAMFETOL,75 mg/1
315,CAMPHOR (SYNTHETIC),4.7 g/100g
316,EUCALYPTUS OIL,1 g/100g
317,MENTHOL,1 g/100g
318,AMLODIPINE BESYLATE,10 mg/1
319,DULOXETINE HYDROCHLORIDE,20 mg/1
320,FINASTERIDE,5 mg/1
321,CAMPHOR (NATURAL),11 g/100g
322,MENTHOL,10 g/100g
323,SULFUR,10 g/100g
324,MITOXANTRONE HYDROCHLORIDE,2 mg/mL
325,HOMOSALATE,90 mg/mL
326,TITANIUM DIOXIDE,18 mg/mL
327,ZINC OXIDE,9 mg/mL
328,GLYCOPYRROLATE,1.7 mg/1
329,ZINC OXIDE,12 g/100g
330,ATORVASTATIN CALCIUM TRIHYDRATE,10 mg/1
331,LAVENDER OIL,10 g/100mL
332,ACETYL TETRAPEPTIDE-3,1 mg/10mL
333,APPLE,100 mg/10mL
334,BIOTINOYL TRIPEPTIDE-1,.066 mg/10mL
335,MEDROXYPROGESTERONE ACETATE,150 mg/mL
336,"MENTHOL, UNSPECIFIED FORM",.04 g/g
337,METHYL SALICYLATE,.01 g/g
338,MENTHOL,100 mg/mL
339,METHYL SALICYLATE,50 mg/mL
340,LIDOCAINE HYDROCHLORIDE,4 g/100mL
341,FULVIC ACID,1.45 g/1000mL
342,TIMOLOL MALEATE,5 mg/mL
343,TETRACAINE HYDROCHLORIDE,5 mg/mL
344,SALICYLIC ACID,50 mg/mL
345,MINOXIDIL,50 mg/mL
346,ABIRATERONE ACETATE,250 mg/1
347,CAPSAICIN,.25 mg/mL
348,METHYL SALICYLATE,150 mg/mL
349,"MENTHOL, (+)-",1.4 g/100g
350,METHYL SALICYLATE,10 g/100g
351,TROLAMINE SALICYLATE,10 g/100mL
352,LIME (CALCIUM OXIDE),.295 g/100mL
353,ALCOHOL,65 mL/100mL
354,LEVOTHYROXINE SODIUM,88 ug/1
355,LEVOTHYROXINE SODIUM,100 ug/1
356,LEVOTHYROXINE SODIUM,150 ug/1
357,SALICYLIC ACID,2 mg/100mL
358,SULFUR,2 mg/100mL
359,AMIKACIN SULFATE,1 g/4mL
360,GLYCERIN,2 g/100mL
361,ZINC OXIDE,18 g/100mL
362,SODIUM MONOFLUOROPHOSPHATE,.15 g/100g
363,PROMETHAZINE HYDROCHLORIDE,50 mg/1
364,ALCOHOL,66 mL/100mL
365,ZINC OXIDE,10 g/100mL
366,TITANIUM DIOXIDE,124 mg/mL
367,LORATADINE,10 mg/1
368,BACITRACIN,500 [USP'U]/g
369,ZINC OXIDE,18 g/100g
370,LIDOCAINE,4 g/100mL
371,TITANIUM DIOXIDE,20 mg/mL
372,MINOXIDIL,5 g/100mL
373,ALCOHOL,22.5 mL/30mL
374,MENTHOL,80 mg/mL
375,CALENDULA OFFICINALIS FLOWERING TOP,7 g/100g
376,"COLLAGEN, SOLUBLE, FISH SKIN",33 g/100g
377,LYCIUM BARBARUM FRUIT,7 g/100g
378,MOMORDICA CHARANTIA FRUIT,2 g/100g
379,SALVIA MICROPHYLLA WHOLE,2 g/100g
380,MENTHOL,.3 g/100mL
381,PANTHENOL,.2 g/100mL
382,SALICYLIC ACID,.25 g/100mL
383,TITANIUM DIOXIDE,85 mg/mL
384,ZINC OXIDE,10 mg/mL
385,OATMEAL,10 mg/mL
386,TITANIUM DIOXIDE,7.75 g/100mL
387,METRONIDAZOLE,10 mg/g
388,CAMPHOR (NATURAL),100 mg/mL
389,PRAMOXINE HYDROCHLORIDE,10 mg/mL
390,ZINC OXIDE,80 mg/mL
391,CALCIUM CHLORIDE,.48 mg/mL
392,MAGNESIUM CHLORIDE,.3 mg/mL
393,POTASSIUM CHLORIDE,.75 mg/mL
394,SODIUM ACETATE,3.9 mg/mL
395,SODIUM CHLORIDE,6.4 mg/mL
396,SODIUM CITRATE,1.7 mg/mL
397,NICOTINE,2 mg/1
398,ESTRIOL,1.69 mg/mL
399,NITROGEN,999 mL/L
400,ACETAMINOPHEN,160 mg/5mL
401,PEPPERMINT OIL,.65 g/100g
402,OCTINOXATE,75 mg/g
403,OCTISALATE,20 mg/g
404,NEOMYCIN SULFATE,3500 [USP'U]/g
405,POLYMYXIN B SULFATE,5000 [USP'U]/g
406,TITANIUM DIOXIDE,72 mg/g
407,ZINC OXIDE,95 mg/g
408,OCTINOXATE,1.995 g/100g
409,AVOBENZONE,2.7 g/100g
410,OCTINOXATE,6 g/100g
411,COCOA BUTTER,19.996 g/20mL
412,OCTINOXATE,.1 g/g
413,FLUOCINONIDE,.5 mg/g
414,MICONAZOLE NITRATE,2 mg/100mL
415,HYDROGEN PEROXIDE,3 mL/100mL
416,AVOBENZONE,1.53 g/50mL
417,HOMOSALATE,2.55 g/50mL
418,OCTISALATE,2.55 g/50mL
419,OCTOCRYLENE,1.53 g/50mL
420,OCTINOXATE,2.827 g/50mL
421,OCTISALATE,1.542 g/50mL
422,BRIMONIDINE TARTRATE,2 mg/mL
423,BRINZOLAMIDE,10 mg/mL
424,AVOBENZONE,1.25 g/50mL
425,OCTINOXATE,3.745 g/50mL
426,OCTOCRYLENE,1 g/50mL
427,OXYBENZONE,.5 g/50mL
428,HALOBETASOL PROPIONATE,.5 mg/g
429,ARNICA MONTANA FLOWER,2 g/20g
430,ARNICA MONTANA FLOWER,12 g/120mL
431,ARNICA MONTANA FLOWER,30 [hp_C]/30mL
432,ARTEMISIA ABROTANUM FLOWERING TOP,1 g/30g
433,BETAMETHASONE DIPROPIONATE,.5 mg/mL
434,ZINC OXIDE,150 mg/mL
435,BORNEOL,.5 g/1001
436,CAPSAICIN,.3 g/1001
437,MENTHOL,.8 g/1001
438,LIMOSILACTOBACILLUS FERMENTUM,.025 g/100g
439,ISOPROPYL ALCOHOL,.75 g/1
440,OLMESARTAN MEDOXOMIL,40 mg/1
441,HISTAMINE DIHYDROCHLORIDE,.25 mg/mL
442,AMLODIPINE BESYLATE,5 mg/1
443,OLMESARTAN MEDOXOMIL,20 mg/1
444,DEXPANTHENOL,.2 g/100mL
445,NIACINAMIDE,.1 g/100mL
446,SALICYLIC ACID,.2 g/100mL
447,LEVOMENTHOL,.3 g/100mL
448,ZINC IODIDE,2 [hp_X]/100mL
449,CALCIUM CARBONATE,56 mg/1001
450,SALICYLIC ACID,7.0753 g/237mL
451,OCTINOXATE,7 g/100mL
452,ZINC OXIDE,6 g/100mL
453,OATMEAL,1 g/100mL
454,ADENOSINE,.0004 g/1
455,NIACINAMIDE,.02 g/1
456,CIPROFLOXACIN HYDROCHLORIDE,500 mg/1
457,PRASUGREL HYDROCHLORIDE,5 mg/1
458,GARLIC OIL,7.5 g/100mL
459,MENTHOL,1.2 g/100mL
460,EUCALYPTOL,1.2 g/100mL
461,ALCOHOL,620 mg/g
462,POVIDONE-IODINE,100 mg/g
463,SODIUM FLUORIDE,2.4 mg/g
464,ALCOHOL,6.3 mL/50mL
465,AMMONIA,2.75 g/50mL
466,ASCORBYL GLUCOSIDE,.25 g/50mL
467,ETHYLHEXYLGLYCERIN,.025 g/50mL
468,GLYCOLIC ACID,17 g/50mL
469,HEXYLRESORCINOL,1 g/50mL
470,"HYDROXYETHYL CELLULOSE, UNSPECIFIED",.34875 g/50mL
471,ISOPROPYL ALCOHOL,.75 g/50mL
472,KOJIC ACID,2.5 g/50mL
473,LACTIC ACID,5 g/50mL
474,PHENOXYETHANOL,.225 g/50mL
475,PROPYLENE GLYCOL,.5 g/50mL
476,SALICYLIC ACID,1 g/50mL
477,WATER,7.333 mL/50mL
478,.ALPHA.-TOCOPHEROL,.006 g/50mL
479,ANHYDROUS CITRIC ACID,.00025 g/50mL
480,ASCORBIC ACID,.00025 g/50mL
481,ASCORBYL PALMITATE,.00125 g/50mL
482,AVOBENZONE,1.8 g/50mL
483,BEMOTRIZINOL,1.45 g/50mL
484,BUTYLATED HYDROXYTOLUENE,.0018 g/50mL
485,BUTYLENE GLYCOL,2.5 g/50mL
486,C20-22 ALCOHOLS,.3375 g/50mL
487,CARBOMER COPOLYMER TYPE A (ALLYL PENTAERYTHRITOL CROSSLINKED),.075 g/50mL
488,"CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE",.025 g/50mL
489,CHLORPHENESIN,.1 g/50mL
490,DIMETHICONE,1.25 g/50mL
491,FRAGRANCE 13576,.3 g/50mL
492,GLYCERIN,.005 g/50mL
493,LINOLEIC ACID,.49725 g/50mL
494,LINOLENIC ACID,.00275 g/50mL
495,OCTINOXATE,3.5982 g/50mL
496,OCTISALATE,1.8 g/50mL
497,OCTOCRYLENE,1.8 g/50mL
498,PHENOXYETHANOL,.35 g/50mL
499,POLY(METHYL METHACRYLATE,2.1 g/50mL
500,450000 MW),.14225 g/50mL
501,POLYETHYLENE GLYCOL 400,2.5 g/50mL
502,PROPYLENE GLYCOL,.575 g/50mL
503,SILICON DIOXIDE,.425 g/50mL
504,TITANIUM DIOXIDE,.22 g/50mL
505,TROMETHAMINE,27.55 mL/50mL
506,".BETA.-CITRONELLOL, (R)-",.0006 g/60mL
507,ALOE VERA LEAF,5.988 g/60mL
508,BAICALIN,.012 g/60mL
509,BENZYL ALCOHOL,.456 g/60mL
510,CETOSTEARYL ALCOHOL,1.2 g/60mL
511,DECYL OLEATE,3.9 g/60mL
512,DICAPRYLYL ETHER,1.5 g/60mL
513,EUGENOL,.0006 g/60mL
514,FRAGRANCE 13576,.114 g/60mL
515,GLYCERIN,3.036 g/60mL
516,GLYCERYL MONOSTEARATE,2.4 g/60mL
517,HYDROXYCITRONELLAL,.0024 g/60mL
518,JUJUBE SEED,.048 g/60mL
519,"LECITHIN, SOYBEAN",.036 g/60mL
520,LEUZEA CARTHAMOIDES ROOT,.012 g/60mL
521,"LIMONENE, (+)-",.006 g/60mL
522,"LINALOOL, (+/-)-",.0006 g/60mL
523,PROPANEDIOL,2.496 g/60mL
524,SALICYLIC ACID,.09 g/60mL
525,SHEA BUTTER,2.1 g/60mL
526,SORBIC ACID,.024 g/60mL
527,TOCOPHEROL,.0018 g/60mL
528,WATER,33.2616 mL/60mL
529,XANTHAN GUM,.18 g/60mL
530,ALCOHOL,1.756 mL/5mL
531,ALLANTOIN,.0125 g/5mL
532,ARCTIUM LAPPA ROOT,.000035 g/5mL
533,ASCORBYL PALMITATE,.00005 g/5mL
534,BUTYLPARABEN,.00000025 g/5mL
535,CITRAL,.000097 g/5mL
536,ETHYLPARABEN,.00000015 g/5mL
537,FARNESOL,.0005 g/5mL
538,FD&C YELLOW NO. 5,.00001 g/5mL
539,FRAGRANCE 13576,.01 g/5mL
540,"HYDROXYETHYL CELLULOSE, UNSPECIFIED",.017 g/5mL
541,ISOPROPYL ALCOHOL,.0006 g/5mL
542,LEVOMENOL,.0045 g/5mL
543,"LIMONENE, (+)-",.002095 g/5mL
544,METHYLPARABEN,.00500065 g/5mL
545,NIACINAMIDE,.0001 g/5mL
546,PANTHENOL,.0025 g/5mL
547,PHENOXYETHANOL,.000003 g/5mL
548,POLYOXYL 40 HYDROGENATED CASTOR OIL,.02 g/5mL
549,POWDERED CELLULOSE,.0003 g/5mL
550,PROPYLENE GLYCOL,.0069 g/5mL
551,PROPYLPARABEN,.0000001 g/5mL
552,RIBOFLAVIN,.000003 g/5mL
553,TIOXOLONE,.01 g/5mL
554,TOCOPHEROL,.000001 g/5mL
555,WATER,3.12515585 mL/5mL
556,"YEAST, UNSPECIFIED",.01725 g/5mL
557,TITANIUM DIOXIDE,10.03 g/100g
558,ZINC OXIDE,4.9 g/100g
559,ACONITUM NAPELLUS WHOLE,8 [hp_X]/mL
560,ANGELICA SINENSIS ROOT,4 [hp_X]/mL
561,ASTRAGALUS MONGHOLICUS ROOT,3 [hp_X]/mL
562,EPHEDRA DISTACHYA FLOWERING TWIG,12 [hp_X]/mL
563,MYRRH,6 [hp_X]/mL
564,BLACK COHOSH,6 [hp_X]/mL
565,CAULOPHYLLUM THALICTROIDES ROOT,6 [hp_X]/mL
566,CINCHONA OFFICINALIS BARK,30 [hp_X]/mL
567,CORTICOTROPIN,15 [hp_C]/mL
568,SODIUM CHLORIDE,12 [hp_X]/mL
569,SUS SCROFA HYPOTHALAMUS,6 [hp_X]/mL
570,SUS SCROFA PINEAL GLAND,6 [hp_X]/mL
571,SUS SCROFA PITUITARY GLAND,6 [hp_X]/mL
572,CALCIUM CARBONATE,975 mg/1
573,MAGNESIUM CARBONATE,232 mg/1
574,OPHIOCORDYCEPS SINENSIS,.1 g/1
575,CHLOROXYLENOL,1 g/L
576,MENTHOL,.04 g/g
577,ALPRAZOLAM,.25 mg/1
578,OCTINOXATE,5 g/100mL
579,TITANIUM DIOXIDE,12.11 g/100mL
580,ZINC OXIDE,2.93 g/100mL
581,LIDOCAINE HYDROCHLORIDE ANHYDROUS,10 mg/mL
582,LIDOCAINE HYDROCHLORIDE ANHYDROUS,20 mg/mL
583,OATMEAL,2 g/100mL
